[2025-03-27T09:49:20.949+0000] {processor.py:186} INFO - Started process (PID=128) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-27T09:49:20.950+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-03-27T09:49:20.952+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:20.952+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-27T09:49:21.416+0000] {processor.py:925} INFO - DAG(s) 'dataset_consumes_1', 'dataset_produces_1', 'dataset_consumes_1_and_2', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_never_scheduled', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_2', 'conditional_dataset_and_time_based_timetable', 'consume_1_and_2_with_dataset_expressions' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-27T09:49:21.448+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.448+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-03-27T09:49:21.467+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.467+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-03-26 01:00:00+00:00, run_after=2025-03-26 01:00:00+00:00
[2025-03-27T09:49:21.471+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.471+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-03-27T09:49:21.473+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.472+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-03-27T09:49:21.474+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.473+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-03-27T09:49:21.475+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.475+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-03-27T09:49:21.476+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.476+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-03-27T09:49:21.477+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.476+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-03-27T09:49:21.478+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.477+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-03-27T09:49:21.479+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.479+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-03-26 00:00:00+00:00, run_after=2025-03-27 00:00:00+00:00
[2025-03-27T09:49:21.480+0000] {logging_mixin.py:190} INFO - [2025-03-27T09:49:21.480+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-03-27T09:49:21.506+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.562 seconds
